#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
8723394471540,-0.8259380460,1.1312021017,1.0601307154,-0.2336945294,0.0634030750,-0.2942927664,0.9245316028
8723427767540,-0.8265717030,1.1348781586,1.0913951397,-0.2385139059,0.0549746240,-0.2498167647,0.9368460340
8723461049540,-0.8240576386,1.1336159706,1.1002836227,-0.2414534028,0.0549040720,-0.2374496099,0.9393101085
8723494339540,-0.8172622919,1.1251951456,1.0862073898,-0.2440707804,0.0659863196,-0.2604711919,0.9317886123
8723527634440,-0.8048032522,1.1100890636,1.0567835569,-0.2479451205,0.0821027029,-0.3006303378,0.9172806350
8723560918640,-0.7916950583,1.0922044516,1.0086474419,-0.2519928455,0.1047438880,-0.3579861436,0.8929581428
8723594207040,-0.7778518796,1.0739585161,0.9490076303,-0.2570328873,0.1293028524,-0.4307049581,0.8553993841
8723627496540,-0.7628780007,1.0586582422,0.8808578849,-0.2606858806,0.1565430103,-0.5098727741,0.8047154229
8723660786240,-0.7523314953,1.0489767790,0.8048256636,-0.2578296317,0.1867116805,-0.5923028483,0.7401621210
8723694075340,-0.7467170358,1.0444123745,0.7206324935,-0.2434982410,0.2188647599,-0.6694118110,0.6668542950
8723727364140,-0.7480614185,1.0440057516,0.6400860548,-0.2197659684,0.2480383578,-0.7235880839,0.6054751663
8723760655240,-0.7548213601,1.0486779213,0.5632172823,-0.1946750747,0.2766487410,-0.7640855984,0.5493089183
8723793945240,-0.7660467029,1.0592086315,0.4911995232,-0.1692051393,0.3075447294,-0.7983581200,0.4892955881
8723827232240,-0.7866217494,1.0761049986,0.4327347577,-0.1454858208,0.3417493461,-0.8249194165,0.4260859263
8723860522840,-0.8052319288,1.0931217670,0.3832015395,-0.1313815846,0.3765617861,-0.8424783246,0.3621745065
8723893811440,-0.8219998479,1.1060132980,0.3458352685,-0.1226781498,0.4027196055,-0.8524697778,0.3099391373
8723927121440,-0.8330743909,1.1107232571,0.3230737746,-0.1203720905,0.4262215364,-0.8506033159,0.2834074112
8723960393740,-0.8340122104,1.1083018780,0.3153139055,-0.1254874105,0.4434320103,-0.8437673017,0.2750958063
8723993679440,-0.8245728612,1.0993109941,0.3239769936,-0.1376119099,0.4634218188,-0.8304125020,0.2769806070
8724026969440,-0.8028346896,1.0838012695,0.3465958834,-0.1589514253,0.4814115729,-0.8099374024,0.2949215932
8724060265540,-0.7659183145,1.0670671463,0.3819875419,-0.1920327801,0.4895634627,-0.7839089474,0.3300572520
8724093547340,-0.7220041752,1.0478882790,0.4272698760,-0.2363231209,0.4906479761,-0.7472986789,0.3807369572
8724126837840,-0.6757199764,1.0298273563,0.4867984056,-0.2882135411,0.4808091058,-0.7008028981,0.4411698726
8724160134340,-0.6320090294,1.0153976679,0.5581274033,-0.3449475793,0.4576418735,-0.6469480448,0.5030241649
8724193415440,-0.5963724852,1.0066649914,0.6381397843,-0.4038586137,0.4234363559,-0.5846238305,0.5619740648
8724226705340,-0.5712109804,1.0018647909,0.7201322317,-0.4572999531,0.3838013753,-0.5196428359,0.6111829352
8724260000640,-0.5580239892,1.0007185936,0.7995476723,-0.5016836933,0.3416802160,-0.4575589129,0.6497753020
8724293285040,-0.5594310164,1.0027222633,0.8721739054,-0.5394781571,0.2969595649,-0.3954449704,0.6814701829
8724326574440,-0.5628425479,1.0066044331,0.9360859394,-0.5708500970,0.2527810768,-0.3376964709,0.7044096730
8724359862240,-0.5699618459,1.0119560957,0.9876749516,-0.5974348883,0.2103951012,-0.2889542330,0.7178515911
8724393152940,-0.5766128898,1.0188897848,1.0252161026,-0.6215026283,0.1749558422,-0.2517586610,0.7209316978
8724426442940,-0.5794575810,1.0263272524,1.0478919744,-0.6405424852,0.1529765375,-0.2274967056,0.7173205368
8724459730440,-0.5748571157,1.0337024927,1.0543580055,-0.6550069242,0.1453314228,-0.2171143671,0.7090176714
8724493021240,-0.5588231087,1.0454672575,1.0442897081,-0.6656798104,0.1572945113,-0.2264195227,0.6934428790
8724526310940,-0.5380188823,1.0582981110,1.0116180182,-0.6695424349,0.1890674838,-0.2526592922,0.6724059016
8724559598440,-0.5087376237,1.0724424124,0.9665773511,-0.6619218999,0.2412227176,-0.2915021994,0.6470683632
8724592889040,-0.4819453657,1.0847764015,0.9011006355,-0.6388316498,0.3132311876,-0.3407106861,0.6145702358
8724626177540,-0.4635234773,1.0948557854,0.8229559064,-0.6012687280,0.3944375046,-0.3959160872,0.5710914319
8724659467340,-0.4541498125,1.1065410376,0.7403771281,-0.5523126411,0.4733510645,-0.4497702465,0.5182627148
8724692761140,-0.4561430812,1.1175794601,0.6546609998,-0.4942023945,0.5447736861,-0.4957636786,0.4617401858
8724726045940,-0.4721761048,1.1267050505,0.5705003142,-0.4276823500,0.6127887083,-0.5280470006,0.4034156313
8724759335840,-0.4993578792,1.1309455633,0.4932944775,-0.3619567339,0.6696765211,-0.5437570042,0.3533397801
8724792652540,-0.5261701941,1.1357138157,0.4268583655,-0.3040172533,0.7178619683,-0.5470264094,0.3049751000
8724825913840,-0.5556630492,1.1390392780,0.3741577268,-0.2596886617,0.7584184008,-0.5373372748,0.2619770627
8724859203740,-0.5859909654,1.1429330111,0.3364999294,-0.2267324376,0.7926214580,-0.5194198853,0.2248257298
8724892514240,-0.6087107658,1.1497727633,0.3123127222,-0.2073261053,0.8180415867,-0.5014935877,0.1905991341
8724925781840,-0.6201151013,1.1605542898,0.3034560084,-0.2029222089,0.8349665951,-0.4821598502,0.1708076139
8724959072140,-0.6170960665,1.1771013737,0.3077166975,-0.2129471389,0.8477788319,-0.4570665226,0.1643616807
8724992368440,-0.5964370966,1.2047222853,0.3313396275,-0.2394082218,0.8538101868,-0.4294737256,0.1710093191
8725025650840,-0.5706348419,1.2390810251,0.3542271256,-0.2872610598,0.8507753940,-0.3983839029,0.1869560869
8725058940540,-0.5383782983,1.2804399729,0.3866795897,-0.3537341516,0.8372814327,-0.3623340882,0.2062667229
8725092231740,-0.5066257715,1.3267139196,0.4356951118,-0.4287837967,0.8130785054,-0.3241857459,0.2234981027
8725125518840,-0.4789634943,1.3738397360,0.4964662492,-0.5092284368,0.7773046614,-0.2816083855,0.2391246113
8725158807740,-0.4576461911,1.4180858135,0.5658159852,-0.5925961621,0.7270793777,-0.2370984956,0.2529222619
8725192097040,-0.4456790090,1.4553769827,0.6390097737,-0.6702059721,0.6685571289,-0.1939917394,0.2573373767
8725225387340,-0.4497754872,1.4797421694,0.7093412280,-0.7371574146,0.6075606535,-0.1533276187,0.2529024312
8725258676640,-0.4514604509,1.4956555367,0.7802402973,-0.7961404091,0.5411951980,-0.1189706440,0.2431341041
